dato;solgte_vaerelser;solgte_senge
2026-09-21;13;1
2026-09-22;52;2
2026-09-23;50;3
2026-09-24;31;3
2026-09-25;44;5
2026-09-26;41;6
2026-09-27;13;2
2026-09-28;65;1
2026-09-29;50;1
2026-09-30;35;1
2026-10-01;32;1
2026-10-02;32;4
2026-10-03;45;3
2026-10-04;7;2
2026-10-05;39;2
2026-10-06;53;1
2026-10-07;20;3
2026-10-08;7;4
2026-10-09;12;3
2026-10-10;24;3
2026-10-11;7;2
2026-10-12;8;1
2026-10-13;13;1
2026-10-14;13;1
2026-10-15;15;1
2026-10-16;19;2
2026-10-17;19;2
2026-10-18;5;2
2026-10-19;4;2
2026-10-20;17;4
2026-10-21;24;5
2026-10-22;12;4
2026-10-23;24;4
2026-10-24;22;4
2026-10-25;9;2
2026-10-26;8;2
2026-10-27;19;2
2026-10-28;18;2
2026-10-29;8;2
2026-10-30;16;3
2026-10-31;13;3
2026-11-01;2;2
2026-11-02;2;1
2026-11-03;2;1
2026-11-04;6;1
2026-11-05;4;1
2026-11-06;13;1
2026-11-07;10;1
2026-11-08;1;1
2026-11-09;3;1
2026-11-10;4;1
2026-11-11;19;1
2026-11-12;16;1
2026-11-13;8;1
2026-11-14;16;1
2026-11-15;4;1
2026-11-16;10;1
2026-11-17;9;1
2026-11-18;10;1
2026-11-19;9;1
2026-11-20;42;1
2026-11-21;10;1
2026-11-22;2;1
2026-11-23;26;1
2026-11-24;26;1
2026-11-25;4;1
2026-11-26;4;1
2026-11-27;9;1
2026-11-28;11;1
2026-11-29;1;1
2026-11-30;7;1
2026-12-01;21;1
2026-12-02;23;1
2026-12-03;8;2
2026-12-04;7;2
2026-12-05;8;2
2026-12-06;3;2
2026-12-07;1;1
2026-12-08;2;1
2026-12-09;13;1
2026-12-10;16;1
2026-12-11;5;1
2026-12-12;2;1
2026-12-13;1;1
2026-12-14;1;1
2026-12-15;1;1
2026-12-16;1;1
2026-12-17;2;1
2026-12-18;3;1
2026-12-19;6;1
2026-12-20;5;1
2026-12-21;4;1
2026-12-22;5;1
2026-12-23;3;1
2026-12-24;4;1
2026-12-25;2;1
2026-12-26;3;1
2026-12-27;5;1
2026-12-28;1;1
2026-12-29;3;2
2026-12-30;2;2
2026-12-31;2;2
2027-01-01;1;3
2027-01-02;1;2
2027-01-03;1;2
2027-01-04;1;2
2027-01-05;1;2
2027-01-06;2;2
2027-01-07;1;1
2027-01-08;1;1
2027-01-09;1;1
2027-01-10;1;1
2027-01-11;1;1
2027-01-12;1;1
2027-01-13;2;1
2027-01-14;1;1
2027-01-15;2;1
2027-01-16;2;1
2027-01-17;1;1
2027-01-18;1;1
2027-01-19;1;1
