dato;ugedag;model_D2;booket_D2_median;sidste_aar_D2_median;model_seng;booket_seng_median;sidste_aar_seng_median
2026-09-21;man;560;676;503;290;;188
2026-09-22;tir;800;581;514;290;258;180
2026-09-23;ons;860;561;503;300;282;
2026-09-24;tor;730;487;487;300;282;
2026-09-25;fre;920;484;525;380;214;208
2026-09-26;lør;890;487;525;400;214;209
2026-09-27;søn;500;533;540;280;252;209
2026-09-28;man;750;640;525;290;;189
2026-09-29;tir;840;684;524;290;;198
2026-09-30;ons;860;720;524;300;;198
2026-10-01;tor;820;685;430;270;;194
2026-10-02;fre;790;601;496;340;200;189
2026-10-03;lør;790;512;525;340;223;189
2026-10-04;søn;450;566;;260;228;187
2026-10-05;man;690;;454;250;228;187
2026-10-06;tir;750;649;454;260;;187
2026-10-07;ons;690;541;454;260;228;180
2026-10-08;tor;550;481;454;280;228;180
2026-10-09;fre;630;541;451;330;214;198
2026-10-10;lør;770;526;525;340;214;199
2026-10-11;søn;450;540;560;250;228;193
2026-10-12;man;520;513;446;250;;183
2026-10-13;tir;600;541;446;260;;187
2026-10-14;ons;580;514;446;260;;187
2026-10-15;tor;650;514;440;280;;183
2026-10-16;fre;720;487;446;340;221;198
2026-10-17;lør;700;487;448;340;221;209
2026-10-18;søn;450;487;456;260;221;198
2026-10-19;man;470;742;471;250;221;189
2026-10-20;tir;650;742;482;260;221;198
2026-10-21;ons;760;487;535;260;224;204
2026-10-22;tor;680;487;554;280;221;214
2026-10-23;fre;870;513;492;350;226;206
2026-10-24;lør;790;513;535;350;226;209
2026-10-25;søn;480;;554;260;228;219
2026-10-26;man;530;540;;250;410;189
2026-10-27;tir;740;540;559;260;410;189
2026-10-28;ons;730;;585;270;410;198
2026-10-29;tor;570;;454;280;410;204
2026-10-30;fre;780;507;554;340;318;194
2026-10-31;lør;740;;554;360;318;209
2026-11-01;søn;400;;;250;410;209
2026-11-02;man;470;;477;240;;209
2026-11-03;tir;520;;456;230;;204
2026-11-04;ons;520;487;490;240;;162
2026-11-05;tor;520;487;525;250;;236
2026-11-06;fre;710;487;529;310;;201
2026-11-07;lør;630;604;570;320;;198
2026-11-08;søn;400;;570;250;;162
2026-11-09;man;460;487;560;230;;198
2026-11-10;tir;480;510;570;250;;203
2026-11-11;ons;720;510;;240;;198
2026-11-12;tor;670;552;460;260;;203
2026-11-13;fre;590;510;476;300;;209
2026-11-14;lør;690;510;557;320;;209
2026-11-15;søn;400;533;416;240;;198
2026-11-16;man;520;582;585;240;;198
2026-11-17;tir;550;630;472;230;;198
2026-11-18;ons;590;630;;240;;198
2026-11-19;tor;570;630;;260;;198
2026-11-20;fre;820;487;560;300;;209
2026-11-21;lør;710;487;572;320;;198
2026-11-22;søn;400;;584;240;;198
2026-11-23;man;670;;507;240;;198
2026-11-24;tir;710;;503;240;;194
2026-11-25;ons;500;778;482;240;;189
2026-11-26;tor;510;568;394;260;;180
2026-11-27;fre;690;568;482;310;;185
2026-11-28;lør;730;803;540;320;;198
2026-11-29;søn;400;;523;250;;184
2026-11-30;man;500;;400;240;;180
2026-12-01;tir;690;;400;230;;189
2026-12-02;ons;730;;403;220;;167
2026-12-03;tor;540;;406;240;217;154
2026-12-04;fre;650;684;645;300;217;189
2026-12-05;lør;670;684;606;310;217;172
2026-12-06;søn;380;541;631;240;217;154
2026-12-07;man;430;;433;230;;148
2026-12-08;tir;460;;433;220;;150
2026-12-09;ons;610;541;400;230;;154
2026-12-10;tor;640;541;465;240;;162
2026-12-11;fre;590;684;615;290;;193
2026-12-12;lør;530;;577;300;;189
2026-12-13;søn;380;;361;220;;180
2026-12-14;man;430;;475;230;;184
2026-12-15;tir;470;;475;220;;163
2026-12-16;ons;470;;475;230;;140
2026-12-17;tor;500;;307;250;;163
2026-12-18;fre;590;;523;300;;180
2026-12-19;lør;630;443;421;300;;180
2026-12-20;søn;380;;421;220;;180
2026-12-21;man;430;;361;220;;189
2026-12-22;tir;500;;361;220;;
2026-12-23;ons;500;;370;230;;180
2026-12-24;tor;510;;;240;;189
2026-12-25;fre;570;;541;290;;189
2026-12-26;lør;540;;541;310;;193
2026-12-27;søn;380;;541;230;;185
2026-12-28;man;430;;541;230;;189
2026-12-29;tir;490;;530;230;217;168
2026-12-30;ons;500;568;531;220;217;180
2026-12-31;tor;510;568;;250;217;183
2027-01-01;fre;530;;;270;212;183
2027-01-02;lør;490;;;290;207;163
2027-01-03;søn;380;;;210;207;147
2027-01-04;man;400;;;210;207;147
2027-01-05;tir;450;;;210;207;147
2027-01-06;ons;470;;;210;207;147
2027-01-07;tor;460;;;230;;147
2027-01-08;fre;530;;;280;;147
2027-01-09;lør;520;;;280;;
2027-01-10;søn;380;;;210;;
2027-01-11;man;400;;;210;;
2027-01-12;tir;460;;;220;;
2027-01-13;ons;470;;;210;;
2027-01-14;tor;460;;;230;;
2027-01-15;fre;540;;;280;;
2027-01-16;lør;530;576;;290;;
2027-01-17;søn;380;;;210;;
2027-01-18;man;400;;;210;;
2027-01-19;tir;450;;;220;;
