dato;medianpris_vaerelse;medianpris_seng;antal
2026-09-18;746;205;4
2026-09-19;837;205;4
2026-09-23;623;200;3
2026-09-24;686;205;4
2026-09-25;774;205;4
2026-09-26;757;205;4
2026-09-30;692;200;4
2026-10-02;708;206;4
2026-10-03;715;205;4
2026-10-07;624;200;3
2026-10-09;700;205;3
2026-10-10;704;205;3
2026-10-12;624;198;3
2026-10-13;624;205;3
2026-10-14;644;209;3
2026-10-15;645;205;3
2026-10-16;624;216;3
2026-10-17;624;213;3
2026-10-18;624;193;3
2026-10-21;564;239;2
2026-10-23;606;218;4
2026-10-24;624;213;3
2026-10-28;624;200;3
2026-10-30;624;205;3
2026-10-31;624;205;3
2026-11-04;606;200;4
2026-11-06;680;214;3
2026-11-07;651;205;2
