dato;Cabinn Aarhus;Wakeup Aarhus;Roberta's Society;Aarhus Hostel og Hotel;Milling Hotel Ritz;median_budget;roberta_dormseng
2026-09-18;865;950;569;628;1668;746;205
2026-09-19;865;1050;809;623;2178;837;205
2026-09-23;748;;515;623;2745;623;200
2026-09-24;748;1800;408;623;1334;686;205
2026-09-25;842;850;707;623;1303;774;205
2026-09-26;842;850;672;623;2269;757;205
2026-09-30;760;1200;596;623;1590;692;200
2026-10-02;829;1050;573;588;2076;708;206
2026-10-03;842;1050;586;588;1672;715;205
2026-10-07;624;1000;350;;1387;624;200
2026-10-09;704;700;389;;1164;700;205
2026-10-10;704;780;636;;1577;704;205
2026-10-12;624;680;613;;1108;624;198
2026-10-13;624;680;548;;1067;624;205
2026-10-14;624;680;644;;1038;644;209
2026-10-15;624;680;645;;1023;645;205
2026-10-16;624;680;612;;1181;624;216
2026-10-17;624;680;559;;1116;624;213
2026-10-18;624;680;383;;900;624;193
2026-10-21;624;;505;;1204;564;239
2026-10-23;624;830;445;588;1071;606;218
2026-10-24;624;830;514;;1512;624;213
2026-10-28;624;980;381;;1193;624;200
2026-10-30;624;830;437;;1131;624;205
2026-10-31;624;830;534;;1278;624;205
2026-11-04;624;780;380;588;1226;606;200
2026-11-06;813;680;426;;1233;680;214
2026-11-07;803;;499;;1190;651;205
